p,m,n,q,df,average ugamma rank,average ugamma_unbiased rank,average skewedd,average kurtosis,distribution,convergence rate,T,T+T_B,T+T_S,T+T_S2,T+T_E1,T+T_E2,T+T_3,T_SB,T_SB+T_B,T_SB+T_S,T_SB+T_S2,T_SB+T_E1,T_SB+T_E2,T_SB+T_3,T_cor1,T_cor1+T_B,T_cor1+T_S,T_cor1+T_S2,T_cor1+T_E1,T_cor1+T_E2,T_cor1+T_3,T_MVA,T_MVA+T_B,T_MVA+T_S,T_MVA+T_S2,T_MVA+T_E1,T_MVA+T_E2,T_MVA+T_3,T_MVA2,T_MVA2+T_B,T_MVA2+T_S,T_MVA2+T_S2,T_MVA2+T_E1,T_MVA2+T_E2,T_MVA2+T_3,T_cor2,T_cor2+T_B,T_cor2+T_S,T_cor2+T_S2,T_cor2+T_E1,T_cor2+T_E2,T_cor2+T_3,T_cor3,T_cor3+T_B,T_cor3+T_S,T_cor3+T_S2,T_cor3+T_E1,T_cor3+T_E2,T_cor3+T_3,T_cor4,T_cor4+T_B,T_cor4+T_S,T_cor4+T_S2,T_cor4+T_E1,T_cor4+T_E2,T_cor4+T_3,T_cor5,T_cor5+T_B,T_cor5+T_S,T_cor5+T_S2,T_cor5+T_E1,T_cor5+T_E2,T_cor5+T_3,T_SB^U,T_MVA^U,T_cor1^1,T_MVA2^U,average rmse,average bias of se (gamma_u),ad value T,ad value T_SB,ad value T_cor1,ad value T_MVA,ad value T_MVA2,ad value T_cor2,ad value T_cor3,ad value T_cor4,ad value T_cor5,ad value T_SB^U,ad value T_MVA^U,ad value T_cor1^1,ad value T_MVA2^U
5,1,40,10,5,5,5,5.365153761,3.868340059,normal,1,0.052,0.033,0.035,0.035,0.033,0.033,0.033,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.05,0.035,0.039,0.039,0.035,0.035,0.035,0.069,0.049,0.053,0.053,0.049,0.049,0.049,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.06,0.045,0.049,0.049,0.045,0.045,0.045,0.068,0.051,0.055,0.055,0.051,0.051,0.051,0.053,0.053,0.036,0.052,0.123923857,0.057570298,0.550792201,11.67010813,11.67010813,19.95143059,9.020014172,11.67010813,11.67010813,14.81572546,10.12720178,0.960869397,0.960869397,8.37404182,0.476755343
5,1,60,10,5,5,5,5.232171004,4.140783995,normal,1,0.05,0.039,0.04,0.04,0.039,0.039,0.039,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.045,0.028,0.033,0.033,0.028,0.028,0.028,0.058,0.048,0.05,0.05,0.048,0.048,0.048,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.05,0.041,0.044,0.044,0.041,0.041,0.041,0.058,0.047,0.049,0.049,0.047,0.047,0.047,0.047,0.047,0.031,0.049,0.093131485,0.041353505,0.391334811,4.451517409,4.451517409,9.408248532,3.559355067,4.451517409,4.451517409,6.343486548,3.898224832,0.495819889,0.495819889,4.594446892,0.643807533
5,1,100,10,5,5,5,5.137563826,4.429249093,normal,1,0.049,0.04,0.041,0.041,0.04,0.04,0.04,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.04,0.035,0.035,0.035,0.035,0.035,0.035,0.049,0.043,0.046,0.046,0.042,0.043,0.043,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.044,0.036,0.038,0.038,0.036,0.036,0.036,0.049,0.042,0.045,0.045,0.042,0.042,0.042,0.044,0.044,0.035,0.046,0.061289193,0.02054796,1.871613087,5.540276544,5.540276544,8.004528018,4.96121274,5.540276544,5.540276544,6.524988698,5.206677967,2.029515396,2.029515396,4.269110412,1.768070131
5,1,200,10,5,5,5,5.06247377,4.684302975,normal,1,0.051,0.047,0.047,0.047,0.047,0.047,0.047,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.05,0.049,0.049,0.049,0.049,0.049,0.049,0.058,0.053,0.054,0.054,0.053,0.053,0.053,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.055,0.049,0.049,0.049,0.049,0.049,0.049,0.058,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.049,0.054,0.045371439,0.022794352,3.715426588,5.473383397,5.473383397,7.117658539,4.824837485,5.473383397,5.473383397,6.222875341,5.140198306,3.544413044,3.544413044,5.14147545,2.83820178
5,1,300,10,5,5,5,5.042230464,4.784186996,normal,1,0.054,0.051,0.052,0.052,0.051,0.051,0.051,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.053,0.051,0.051,0.051,0.051,0.051,0.051,0.055,0.053,0.053,0.053,0.053,0.053,0.053,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.053,0.052,0.052,0.052,0.052,0.052,0.052,0.056,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.051,0.053,0.041720363,0.021122055,2.375076728,3.356519344,3.356519344,4.131321672,3.055554538,3.356519344,3.356519344,3.709691224,3.2024121,2.30655332,2.30655332,3.051915313,1.972811132
5,1,500,10,5,5,5,5.025280465,4.866789247,normal,1,0.057,0.056,0.057,0.057,0.056,0.056,0.056,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.057,0.055,0.055,0.055,0.055,0.055,0.055,0.061,0.058,0.058,0.058,0.058,0.058,0.058,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.059,0.057,0.058,0.058,0.057,0.057,0.057,0.061,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.055,0.058,0.028236864,0.019419443,3.704375106,4.675403149,4.675403149,5.14732723,4.512925741,4.675403149,4.675403149,4.89836238,4.592754232,3.88243706,3.88243706,4.346139167,3.673303882
5,1,1000,10,5,5,5,5.01321713,4.932315901,normal,1,0.056,0.054,0.054,0.054,0.054,0.054,0.054,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.056,0.056,0.056,0.056,0.056,0.056,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.056,0.058,0.022247277,0.020080725,0.287763714,0.372435969,0.372435969,0.33991678,0.371024174,0.372435969,0.372435969,0.352234264,0.371274624,0.315618862,0.315618862,0.276742912,0.326091958
15,3,40,33,87,39,87,96.33340694,19.99947802,normal,1,0.047,0.001,0.002,0,0.002,0.002,0.002,0.14,0.002,0.009,0,0.005,0.005,0.005,0.029,0.001,0.001,0,0.001,0.001,0.001,0.003,0,0.001,0,0.001,0.001,0.001,0.141,0.002,0.008,0,0.003,0.003,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.02,0.001,0.001,0,0.001,0.001,0.001,0.14,0.002,0.009,0,0.004,0.004,0.004,0.045,0.045,0.001,0.02,0.12622683,0.075285647,9.059357218,194.2748416,153.9758092,175.5359605,194.8286365,2799.570463,1040.694056,158.9086977,194.3459311,8.224896914,8.224896914,109.705083,16.83496938
15,3,60,33,87,59,87,93.32708474,27.08471377,normal,1,0.046,0.004,0.007,0,0.006,0.006,0.006,0.086,0.01,0.02,0.007,0.016,0.016,0.016,0.048,0.003,0.007,0.003,0.006,0.006,0.006,0.007,0,0.001,0,0,0,0,0.087,0.01,0.02,0.006,0.011,0.011,0.011,0.003,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.024,0.001,0.003,0.001,0.003,0.003,0.003,0.086,0.01,0.021,0.007,0.013,0.013,0.013,0.044,0.044,0.003,0.035,0.09634295,0.062438459,3.626831253,78.20875753,75.85286217,113.4474039,75.68787896,480.0089423,277.7290657,82.73015909,76.85131373,3.172591621,3.172591621,78.16623344,5.566516619
15,3,100,33,87,87,87,90.98281071,37.46444613,normal,1,0.047,0.011,0.016,0.016,0.012,0.012,0.012,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.01,0.001,0.002,0.002,0.001,0.001,0.001,0.064,0.02,0.026,0.026,0.023,0.023,0.023,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.029,0.003,0.008,0.008,0.005,0.005,0.005,0.065,0.02,0.028,0.028,0.023,0.023,0.023,0.041,0.041,0.003,0.036,0.062507057,0.023713766,0.870336006,20.09598933,20.09598933,56.66738752,18.46544517,20.09598933,20.09598933,31.39159239,19.23448075,0.631168113,0.631168113,43.38279989,0.816081813
15,3,200,33,87,87,87,89.09829177,52.50536406,normal,1,0.038,0.022,0.023,0.023,0.023,0.023,0.023,0.05,0.027,0.031,0.031,0.029,0.029,0.029,0.05,0.027,0.031,0.031,0.029,0.029,0.029,0.023,0.009,0.012,0.012,0.01,0.01,0.01,0.052,0.028,0.031,0.031,0.029,0.029,0.029,0.05,0.027,0.031,0.031,0.029,0.029,0.029,0.05,0.027,0.031,0.031,0.029,0.029,0.029,0.031,0.017,0.023,0.023,0.019,0.019,0.019,0.052,0.028,0.031,0.031,0.029,0.029,0.029,0.038,0.038,0.015,0.037,0.045356097,0.017618703,0.635599632,4.729711475,4.729711475,20.22133763,4.489906415,4.729711475,4.729711475,9.418043963,4.593853409,0.58654151,0.58654151,16.44702928,0.728591349
15,3,300,33,87,87,87,88.33118194,60.47681284,normal,1,0.038,0.027,0.028,0.028,0.028,0.028,0.028,0.045,0.03,0.033,0.033,0.032,0.032,0.032,0.045,0.03,0.033,0.033,0.032,0.032,0.032,0.022,0.013,0.015,0.015,0.015,0.015,0.015,0.045,0.029,0.032,0.032,0.032,0.032,0.032,0.045,0.03,0.033,0.033,0.032,0.032,0.032,0.045,0.03,0.033,0.033,0.032,0.032,0.032,0.033,0.021,0.022,0.022,0.022,0.022,0.022,0.045,0.03,0.033,0.033,0.032,0.032,0.032,0.037,0.037,0.016,0.037,0.042389042,0.018662049,1.019249319,3.369424547,3.369424547,15.07688814,3.044579313,3.369424547,3.369424547,7.631481431,3.201174857,0.90625798,0.90625798,12.69078455,0.78508838
15,3,500,33,87,87,87,87.7594247,68.84860549,normal,1,0.051,0.037,0.04,0.04,0.038,0.038,0.038,0.058,0.043,0.045,0.045,0.044,0.044,0.044,0.058,0.043,0.045,0.045,0.044,0.044,0.044,0.035,0.029,0.029,0.029,0.029,0.029,0.029,0.058,0.043,0.045,0.045,0.043,0.043,0.043,0.058,0.043,0.045,0.045,0.044,0.044,0.044,0.058,0.043,0.045,0.045,0.044,0.044,0.044,0.043,0.034,0.036,0.036,0.035,0.035,0.035,0.058,0.043,0.045,0.045,0.043,0.043,0.043,0.052,0.052,0.033,0.052,0.029020094,0.015113597,0.372381065,1.870986128,1.870986128,6.101023482,1.744534096,1.870986128,1.870986128,3.207104656,1.805180937,0.421552719,0.421552719,4.667540261,0.36459072
15,3,1000,33,87,87,87,87.38835086,76.87570366,normal,1,0.034,0.03,0.032,0.032,0.032,0.032,0.032,0.039,0.034,0.034,0.034,0.034,0.034,0.034,0.039,0.034,0.034,0.034,0.034,0.034,0.034,0.029,0.026,0.026,0.026,0.026,0.026,0.026,0.039,0.034,0.035,0.035,0.034,0.034,0.034,0.039,0.034,0.034,0.034,0.034,0.034,0.034,0.039,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.028,0.029,0.029,0.029,0.029,0.029,0.039,0.034,0.034,0.034,0.034,0.034,0.034,0.037,0.037,0.028,0.037,0.022337164,0.016806621,0.701833823,0.862328897,0.862328897,1.937885766,0.871327853,0.862328897,0.862328897,1.16033859,0.866222579,0.676767377,0.676767377,1.714369178,0.704990366
30,3,100,63,402,99,402,417.0296037,65.20276529,normal,1,0.05,0.001,0.002,0,0.001,0.001,0.001,0.117,0.002,0.002,0,0.002,0.002,0.002,0.004,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.116,0.002,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0.117,0.002,0.002,0,0.002,0.002,0.002,0.051,0.051,0,0.035,0.059440117,0.021154055,3.437616616,122.3122555,134.8740362,161.681147,120.9366893,Inf,Inf,112.6891227,121.5875922,3.281964378,3.281964378,131.1519101,8.168512764
30,3,200,63,402,199,402,410.4661254,112.9769384,normal,1,0.057,0.007,0.008,0,0.007,0.007,0.007,0.085,0.009,0.012,0.002,0.012,0.012,0.012,0.022,0.002,0.003,0,0.002,0.002,0.002,0.003,0,0,0,0,0,0,0.087,0.009,0.012,0.002,0.009,0.009,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.002,0.002,0,0.002,0.002,0.002,0.086,0.009,0.012,0.002,0.011,0.011,0.011,0.059,0.059,0.002,0.05,0.040419855,0.019988665,0.721152171,26.53440447,46.71746036,87.13081705,25.6582878,13154.27028,6588.405849,43.13553952,26.08446427,0.77355399,0.77355399,75.92271927,1.080549603
30,3,300,63,402,299,402,407.6496248,148.8677237,normal,1,0.054,0.01,0.013,0.007,0.011,0.011,0.011,0.07,0.014,0.017,0.011,0.014,0.015,0.015,0.045,0.007,0.009,0.007,0.007,0.007,0.007,0.007,0.004,0.004,0.004,0.004,0.004,0.004,0.07,0.014,0.017,0.01,0.015,0.015,0.015,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.017,0.005,0.007,0.005,0.005,0.005,0.005,0.07,0.014,0.017,0.011,0.015,0.015,0.015,0.054,0.054,0.006,0.051,0.037384418,0.017134919,0.716394056,16.14769095,19.14682712,57.66928815,15.71507863,1957.904824,1429.960154,27.20360558,15.92601123,0.953782076,0.953782076,49.8454683,0.884774055
30,3,500,63,402,402,402,405.4700694,199.2448286,normal,1,0.06,0.027,0.029,0.029,0.027,0.027,0.027,0.066,0.033,0.036,0.036,0.034,0.034,0.034,0.066,0.033,0.036,0.036,0.034,0.034,0.034,0.017,0.005,0.005,0.005,0.005,0.005,0.005,0.065,0.033,0.036,0.036,0.033,0.033,0.033,0.066,0.033,0.036,0.036,0.034,0.034,0.034,0.066,0.033,0.036,0.036,0.034,0.034,0.034,0.035,0.012,0.016,0.016,0.012,0.012,0.012,0.065,0.033,0.036,0.036,0.034,0.034,0.034,0.058,0.058,0.011,0.057,0.027682697,0.018637604,0.269967666,4.108293613,4.108293613,29.25038365,3.952989792,4.108293613,4.108293613,11.21860595,4.028033519,0.268956952,0.268956952,26.48413071,0.257797601
30,3,1000,63,402,402,402,403.68244,266.4942223,normal,1,0.038,0.028,0.029,0.029,0.028,0.028,0.028,0.043,0.028,0.032,0.032,0.029,0.029,0.029,0.043,0.028,0.032,0.032,0.029,0.029,0.029,0.017,0.009,0.009,0.009,0.009,0.009,0.009,0.043,0.028,0.031,0.031,0.029,0.029,0.029,0.043,0.028,0.032,0.032,0.029,0.029,0.029,0.043,0.028,0.032,0.032,0.029,0.029,0.029,0.028,0.016,0.017,0.017,0.017,0.017,0.017,0.043,0.028,0.031,0.031,0.029,0.029,0.029,0.039,0.039,0.015,0.039,0.020107654,0.01906196,0.88202884,0.711294621,0.711294621,11.75907402,0.679072576,0.711294621,0.711294621,4.094279512,0.694608862,0.871772903,0.871772903,11.65375148,0.886460125
5,1,40,10,5,5,5,7.194985912,3.062664606,elliptical,0.999,0.233233233,0.193193193,0.203203203,0.203203203,0.191191191,0.193193193,0.193193193,0.077077077,0.051051051,0.056056056,0.056056056,0.051051051,0.051051051,0.051051051,0.077077077,0.051051051,0.056056056,0.056056056,0.051051051,0.051051051,0.051051051,0.036036036,0.017017017,0.02002002,0.02002002,0.017017017,0.017017017,0.017017017,0.096096096,0.063063063,0.067067067,0.067067067,0.062062062,0.063063063,0.063063063,0.077077077,0.051051051,0.056056056,0.056056056,0.051051051,0.051051051,0.051051051,0.077077077,0.051051051,0.056056056,0.056056056,0.051051051,0.051051051,0.051051051,0.054054054,0.035035035,0.037037037,0.037037037,0.035035035,0.035035035,0.035035035,0.083083083,0.057057057,0.063063063,0.063063063,0.057057057,0.057057057,0.057057057,0.052052052,0.052052052,0.018018018,0.055055055,0.154390391,0.21602315,312.5720157,47.37658816,47.37658816,80.70842116,38.76911484,47.37658816,47.37658816,61.151143,41.39149161,16.95846669,16.95846669,53.83421381,10.58261399
5,1,60,10,5,5,5,6.755200733,3.253129819,elliptical,1,0.266,0.242,0.249,0.249,0.242,0.242,0.242,0.057,0.043,0.05,0.05,0.043,0.043,0.043,0.057,0.043,0.05,0.05,0.043,0.043,0.043,0.022,0.018,0.018,0.018,0.018,0.018,0.018,0.071,0.053,0.056,0.056,0.053,0.053,0.053,0.057,0.043,0.05,0.05,0.043,0.043,0.043,0.057,0.043,0.05,0.05,0.043,0.043,0.043,0.039,0.024,0.028,0.028,0.024,0.024,0.024,0.062,0.048,0.051,0.051,0.048,0.048,0.048,0.043,0.043,0.018,0.048,0.146215473,0.189321129,393.7931207,31.86123627,31.86123627,62.4634099,23.32174918,31.86123627,31.86123627,45.02597334,26.67228155,15.2143237,15.2143237,46.75325111,8.522276759
5,1,100,10,5,5,5,6.718261165,3.429110643,elliptical,1,0.321,0.309,0.311,0.311,0.309,0.309,0.309,0.049,0.041,0.044,0.044,0.041,0.042,0.042,0.049,0.041,0.044,0.044,0.041,0.042,0.042,0.023,0.019,0.019,0.019,0.019,0.019,0.019,0.059,0.048,0.051,0.051,0.048,0.048,0.048,0.049,0.041,0.044,0.044,0.041,0.042,0.042,0.049,0.041,0.044,0.044,0.041,0.042,0.042,0.033,0.025,0.026,0.026,0.025,0.025,0.025,0.054,0.044,0.044,0.044,0.044,0.044,0.044,0.041,0.041,0.019,0.046,0.133233357,0.141987977,521.6323248,16.77795886,16.77795886,40.38659269,10.04016162,16.77795886,16.77795886,26.97493811,12.56721527,9.585472001,9.585472001,32.81218109,3.95119515
5,1,200,10,5,5,5,6.323579415,3.661973008,elliptical,1,0.349,0.339,0.341,0.341,0.339,0.339,0.339,0.055,0.054,0.054,0.054,0.054,0.054,0.054,0.055,0.054,0.054,0.054,0.054,0.054,0.054,0.038,0.034,0.034,0.034,0.034,0.034,0.034,0.063,0.059,0.059,0.059,0.059,0.059,0.059,0.055,0.054,0.054,0.054,0.054,0.054,0.054,0.055,0.054,0.054,0.054,0.054,0.054,0.054,0.046,0.042,0.044,0.044,0.042,0.042,0.042,0.058,0.055,0.055,0.055,0.055,0.055,0.055,0.054,0.054,0.034,0.058,0.086001505,0.11893538,629.8490913,6.767886717,6.767886717,23.88615698,2.7398825,6.767886717,6.767886717,13.94876236,4.056756105,4.62017611,4.62017611,21.11301185,1.180258181
5,1,300,10,5,5,5,6.102013013,3.754711434,elliptical,1,0.387,0.381,0.382,0.382,0.381,0.381,0.381,0.053,0.051,0.052,0.052,0.051,0.051,0.052,0.053,0.051,0.052,0.052,0.051,0.051,0.052,0.035,0.033,0.033,0.033,0.033,0.033,0.033,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.051,0.052,0.052,0.051,0.051,0.052,0.053,0.051,0.052,0.052,0.051,0.051,0.052,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.053,0.052,0.052,0.052,0.052,0.052,0.052,0.051,0.051,0.033,0.052,0.06450643,0.134476711,815.7875245,12.11789489,12.11789489,30.1729236,6.946133544,12.11789489,12.11789489,20.04426506,9.032970037,10.01800997,10.01800997,27.85645631,5.180036694
5,1,500,10,5,5,5,5.868060376,3.908195297,elliptical,1,0.438,0.435,0.436,0.436,0.435,0.435,0.435,0.038,0.036,0.036,0.036,0.036,0.036,0.036,0.038,0.036,0.036,0.036,0.036,0.036,0.036,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.044,0.043,0.043,0.043,0.043,0.043,0.043,0.038,0.036,0.036,0.036,0.036,0.036,0.036,0.038,0.036,0.036,0.036,0.036,0.036,0.036,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.041,0.038,0.038,0.038,0.038,0.038,0.038,0.036,0.036,0.027,0.042,0.049755236,0.104146285,937.8244966,10.25634046,10.25634046,24.22736016,6.123190386,10.25634046,10.25634046,16.4969145,7.970853158,9.054265594,9.054265594,22.88952464,5.060006892
